id,name,url,facebook,twitter,tel,mail,rssfeed,priceurl,prerss
287,Arlanda Express,https://www.arlandaexpress.se/,https://www.facebook.com/arlandaexpress,https://twitter.com/arlanda_express,0771-720 200,info@atrain.se,,https://www.arlandaexpress.se/priser.aspx,https://www.arlandaexpress.se/start.aspx
805,Blå båtarna,http://www.blabatarna.se/,,,08-7111 457,info@blabatarna.se,,,
619,Blå Tåget,http://www.blataget.com/,https://www.facebook.com/pages/Skandinaviska-Jernbanor-Blå-Tåget/195740220500768,,0771-501 501,info@blataget.com,,http://www.blataget.com/,http://www.blataget.com/?news=trafikmeddelande-gallande-2122-sept-samt-22-okt
258,Blekingetrafik,http://www.blekingetrafiken.se/,,,0455-56900,,,http://www.blekingetrafiken.se/Biljetter__priser/,http://www.blekingetrafiken.se/Kundservice/Trafikinformation/
327,Bus4You,http://www.nettbuss.se/bus4you,https://www.facebook.com/Bus4youSWE,https://twitter.com/bus4you,0771-151515,info@nettbuss.se ,,http://www.nettbuss.se/bus4you,http://www.nettbuss.se/
267,Dalatrafik,http://www.dalatrafik.se/,https://www.facebook.com/Dalatrafik,https://twitter.com/ab_dalatrafik,0771-95 95 95 ,kundservice@dalatrafik.se,http://pi.thure.org/martin/api/dalatrafikrssinfo.php,http://www.dalatrafik.se/templates/Units/templa...,http://www.dalatrafik.se/templates/Units/templates/dtInfoTravellerDeviationMessages.aspx?id=2087&epslanguage=SV
270,Destination Gotland,http://www.destinationgotland.se/,https://www.facebook.com/destgotl,https://twitter.com/DestinationGotl,0771-22 33 00,kundservice@destinationgotland.se,,http://www.destinationgotland.se/,
277,Flygbussarna,http://www.flygbussarna.se,https://www.facebook.com/flygbussarna,,0771- 51 52 52,info@flygbussarna.se,,,
257,Gotlands kommun,http://www.gotland.se/kollektivtrafiken,,,0498-218 218,registrator-tn@gotland.se,,http://www.gotland.se/1158,
261,Hallandstrafiken,http://www.hlt.se/,https://www.facebook.com/hallandstrafiken,,0771-33 10 30,,http://www.thure.org/stinsen/api/hltrssinfo.php,http://www.hallandstrafiken.se/biljetter,http://www.thure.org/stinsen/api/hltrssinfo.php
807,IKEA,http://www.ikea.com/se/sv/store/kurvan/storeInfo,https://www.facebook.com/ikeasverige,,0775-700 500,,,,
601,Karlstadsbuss,http://karlstad.se/karlstadsbuss/,https://www.facebook.com/karlstadsbuss/info,,054-400 18 19,karlstadsbuss@karlstad.se,,http://karlstad.se/karlstadsbuss/priser-och-biljetter/,
256,KLT,http://www.klt.se,,,010-2121000,upplysningen@klt.se,http://www.klt.se/Rss/DeviationFeed.aspx?today=1&tomorrow=1&transportModes=7,http://www.klt.se/Din-resa/Resor-inom-Kalmar-lan/Priser-och-biljetter/,http://www.klt.se/Rss/DeviationFeed.aspx?today=1&tomorrow=1&transportModes=7
249,Kosterbåtarna,http://www.kostermarin.se/,,,0526-20 110,info@kostermarin.se,,http://www.kostermarin.se/Res.htm,
653,Kustpilen,http://www.klt.se/Din-resa/Att-resa-med-tag/Kustpilen/,,,010-2121000,upplysningen@klt.se,http://www.klt.se/Rss/DeviationFeed.aspx?today=1&tomorrow=1&transportModes=7,http://www.ltnbd.se/priser-biljetter/32/0/,http://www.klt.se/Rss/DeviationFeed.aspx?today=1&tomorrow=1&transportModes=7
